sample-id	Island	Abbreviation	Species	Band-Number	Date Collected	Location	Solution	Foraging Guild	Notes	Sample_or_Control
1881-73624-16S	Big Island	HAAM	Hawaii Amakihi	1881-73624	3/12/20	AIRA	Alcohol	Generalist 		Sample
2591-08204-16S	Big Island	HAAM	Hawaii Amakihi	2591-08204	7/23/19	BIOX	Alcohol	Generalist 		Sample
1881-73656-16S	Big Island	HAAM	Hawaii Amakihi	1881-73656	4/15/20	UPKE	Alcohol	Generalist 		Sample
2591-08414-16S	Big Island	HAAM	Hawaii Amakihi	2591-08414	2/5/20	NANZ	Alcohol	Generalist 		Sample
2631-36124-16S	Kauai	APAP	Apapane	2631-36124	2/24/18	HPK	Ethanol 	Nectar 		Sample
1861-01140-16S	Kauai	APAP	Apapane	1861-01140	10/10/19	MOH	Ethanol 	Nectar 		Sample
1821-21340-16S	Kauai	APAP	Apapane	1821-21340	7/10/16	HPK	Alcohol 	Nectar 		Sample
2631-36250-16S	Maui	APAP	Apapane	2631-36250	6/21/20	Classic	Ethanol	Nectar 		Sample
2631-36258-16S	Maui	APAP	Apapane	2631-36258	6/20/20	Classic	Ethanol	Nectar 		Sample
2631-36259-16S	Maui	APAP	Apapane	2631-36259	6/20/20	Classic	Ethanol	Nectar 		Sample
2591-56427-16S	Maui	APAP	Apapane	2591-56427	6/9/20	FSB	Ethanol	Nectar 		Sample
2591-56430-16S	Maui	APAP	Apapane	2591-56430	6/20/20	HR2	Ethanol	Nectar 		Sample
2631-37367-16S	Maui	APAP	Apapane	2631-37367	5/11/19	NAK	Ethanol	Nectar 		Sample
2631-37371-16S	Maui	APAP	Apapane	2631-37371	5/12/19	NAK	Ethanol	Nectar 		Sample
2631-37372-16S	Maui	APAP	Apapane	2631-37372	5/12/19	NAK	Ethanol	Nectar 		Sample
2821-57874-16S	Maui	APAP	Apapane	2821-57874	12/5/19	WEST029	Alcohol	Nectar 		Sample
2591-08264-16S	Maui	APAP	Apapane	2591-08264	12/5/19	WEST	Alcohol	Nectar 		Sample
2821-57854-16S	Maui	APAP	Apapane	2821-57854	11/7/19	CHAR005	Alcohol	Nectar 		Sample
2591-08250-16S	Maui	APAP	Apapane	2591-08250	11/25/19	PKEA016	Alcohol	Nectar 		Sample
2591-08246-16S	Maui	APAP	Apapane	2591-08246	12/5/19	WEST030	Alcohol	Nectar 		Sample
2631-36271-16S	Maui	APAP	Apapane	2631-36271	6/7/20	FSB	Ethanol	Nectar 		Sample
2631-36272-16S	Maui	APAP	Apapane	2631-36272	6/7/20	FSB	Ethanol	Nectar 		Sample
2631-36269-16S	Maui	APAP	Apapane	2631-36269	6/7/20	FSB	Ethanol	Nectar 		Sample
2591-56438-16S	Maui	APAP	Apapane	2591-56438	6/21/20	HR2	Ethanol	Nectar 		Sample
1861-01486-16S	Kauai	APAP	Apapane	1861-01486	2/12/18		Ethanol	Nectar 	UH freezer	Sample
1871-25574-16S	Kauai	APAP	Apapane	1871-25574	1/26/18		Ethanol	Nectar 	UH freezer	Sample
2631-36129-16S	Kauai	APAP	Apapane	2631-36129	3/30/18		Ethanol	Nectar 	UH freezer	Sample
1861-01494-16S	Kauai	APAP	Apapane	1861-01494	6/3/17		Ethanol	Nectar 	UH freezer-KF	Sample
1861-01496-16S	Kauai	APAP	Apapane	1861-01496	5/31/17		Ethanol	Nectar 	UH freezer-KF	Sample
1871-25575-16S	Kauai	APAP	Apapane	1871-25575	2/16/18		Ethanol	Nectar 	UH freezer-KF	Sample
2591-08300-16S	Big Island	APAP	Apapane	2591-08300	1/28/20	PUAK	Alcohol	Nectar 		Sample
2020-40648-16S	Big Island	APAP	Apapane	2020-40648	3/2/13	PEDR	Alcohol	Nectar 		Sample
1881-73676-16S	Big Island	APAP	Apapane	1881-73676	4/24/20	BYLE	Alcohol	Nectar 		Sample
1881-73720-16S	Big Island	APAP	Apapane	1881-73720	6/9/20	KONA	Alcohol	Nectar 		Sample
1881-73687-16S	Big Island	APAP	Apapane	1881-73687	4/28/20	KIPA	Alcohol	Nectar 		Sample
2721-50720-16S	Big Island	APAP	Apapane	2721-50720	11/5/19	KIPA	Alcohol	Nectar 		Sample
2721-50726-16S	Big Island	APAP	Apapane	2721-50726	11/6/19	KIPA	Alcohol	Nectar 		Sample
2721-50742-16S	Big Island	APAP	Apapane	2721-50742	11/6/19	KIPA	Alcohol	Nectar 		Sample
2591-08294-16S	Big Island	APAP	Apapane	2591-08294	1/17/20	PUAK	Alcohol	Nectar 		Sample
1881-73673-16S	Big Island	APAP	Apapane	1881-73673	4/22/20	KIVO	Alcohol	Nectar 		Sample
2631-11813-16S	Big Island	APAP	Apapane	2631-11813	3/19/16	PUAK	Alcohol	Nectar 		Sample
2631-11719-16S	Big Island	APAP	Apapane	2631-11719	2/15/16	KOAR	Alcohol	Nectar 		Sample
1661-42928-16S	Big Island	APAP	Apapane	1661-42928	4/26/16	KOAR	Alcohol	Nectar 		Sample
2631-11709-16S	Big Island	APAP	Apapane	2631-11709	2/14/16	PEDR	Alcohol	Nectar 		Sample
2721-50774-16S	Big Island	APAP	Apapane	2721-50774	11/7/19	KIPA	Alcohol	Nectar 		Sample
2721-50749-16S	Big Island	APAP	Apapane	2721-50749	11/6/19	KIPA	Alcohol	Nectar 		Sample
2631-11710-16S	Big Island	APAP	Apapane	2631-11710	2/14/16	PEDR	Alcohol	Nectar 		Sample
2621-19454-16S	Big Island	APAP	Apapane	2621-19454	2/25/16	KOAR	Alcohol	Nectar 		Sample
2631-11959-16S	Big Island	APAP	Apapane	2631-11959	4/26/16	KOAR	Alcohol	Nectar 		Sample
2631-11736-16S	Big Island	APAP	Apapane	2631-11736	2/24/16	PEDR	Alcohol	Nectar 		Sample
2721-12120-16S	Big Island	APAP	Apapane	2721-12120	5/20/16	PUAK	Alcohol	Nectar 		Sample
1831-93061-16S	Big Island	APAP	Apapane	1831-93061	3/14/15	KOAR	Alcohol	Nectar 		Sample
2631-11920-16S	Big Island	APAP	Apapane	2631-11920	4/22/16	PUAK	Alcohol	Nectar 		Sample
2621-19484-16S	Big Island	APAP	Apapane	2621-19484	5/12/14	KOAR	Alcohol	Nectar 		Sample
2771-14774-16S	Big Island	APAP	Apapane	2771-14774	6/29/20	KONA	Alcohol	Nectar 		Sample
1881-73672-16S	Big Island	APAP	Apapane	1881-73672	4/21/20	KIVO	Alcohol	Nectar 		Sample
2280-37669-16S	Kauai	ANIA	Anianiau	2280-37669	3/12/18	UUK	Ethanol 	Generalist 		Sample
2280-37710-16S	Kauai	ANIA	Anianiau	2280-37710	4/8/17	HPK	Ethanol 	Generalist 		Sample
2280-37731-121217-16S	Kauai	ANIA	Anianiau	2280-37731	12/12/17	HPK	Ethanol 	Generalist 		Sample
2520-89382-16S	Kauai	ANIA	Anianiau	2520-89382	2/2/19	HPK	Ethanol 	Generalist 		Sample
2520-89360-16S	Kauai	ANIA	Anianiau	2520-89360	1/21/18	HPK	Ethanol 	Generalist 		Sample
2280-37740-16S	Kauai	ANIA	Anianiau	2280-37740	2/6/18	HPK	Ethanol 	Generalist 		Sample
2280-37717-16S	Kauai	ANIA	Anianiau	2280-37717	5/31/17	HPK	Ethanol 	Generalist 		Sample
2520-89415-16S	Kauai	ANIA	Anianiau	2520-89415	12/16/17	HPK	Ethanol 	Generalist 		Sample
2280-37657-16S	Kauai	ANIA	Anianiau	2280-37657	10/12/19	MOH	Ethanol 	Generalist 		Sample
2280-37685-16S	Kauai	ANIA	Anianiau	2280-37685	10/10/19	MOH	Ethanol 	Generalist 		Sample
2280-37699-16S	Kauai	ANIA	Anianiau	2280-37699	10/12/19	MOH	Ethanol 	Generalist 		Sample
2280-09288-16S	Kauai	ANIA	Anianiau	2280-09288	7/13/16	HPK	Alcohol 	Generalist 		Sample
2520-89383-16S	Kauai	ANIA	Anianiau	2520-89383	2/24/18	HPK	Ethanol	Generalist 		Sample
1821-21384-16S	Kauai	ANIA	Anianiau	1821-21384	6/3/17	HPK	Ethanol	Generalist 		Sample
2520-89358-16S	Kauai	ANIA	Anianiau	2520-89358	5/31/17	HPK	Ethanol	Generalist 		Sample
2280-09271-16S	Kauai	ANIA	Anianiau	2280-09271	12/8/15	MOH	Alcohol	Generalist 		Sample
2520-84342-16S	Kauai	ANIA	Anianiau	2520-84342	1/30/17	HPK	Alcohol	Generalist 		Sample
2280-27728-16S	Kauai	ANIA	Anianiau	2280-27728	12/10/17	HPK	Ethanol	Generalist 		Sample
2520-89339-16S	Kauai	ANIA	Anianiau	2520-89339	1/31/17	HPK	Ethanol	Generalist 		Sample
1821-21385-16S	Kauai	ANIA	Anianiau	1821-21385	6/3/17	HPK	Ethanol	Generalist 		Sample
2280-09268-16S	Kauai	ANIA	Anianiau	2280-09268	12/7/15	MOH	Alcohol	Generalist 		Sample
2280-09228-16S	Kauai	ANIA	Anianiau	2280-09228	7/3/17		Ethanol	Generalist 	UH freezer	Sample
2520-89368-16S	Kauai	ANIA	Anianiau	2520-89368	2/7/18		Ethanol	Generalist 	UH freezer	Sample
2280-37739-16S	Kauai	ANIA	Anianiau	2280-37739	2/2/18		Ethanol	Generalist 	UH freezer	Sample
2520-89365-16S	Kauai	ANIA	Anianiau	2520-89365	1/25/18		Ethanol	Generalist 	UH freezer	Sample
2520-89361-16S	Kauai	ANIA	Anianiau	2520-89361	1/21/18		Ethanol	Generalist 	UH freezer-KF	Sample
2280-37731-022319-16S	Kauai	ANIA	Anianiau	2280-37731	2/23/19		Ethanol	Generalist 	UH freezer-KF	Sample
2280-37656-16S	Kauai	ANIA	Anianiau	2280-37656	2/24/18		Ethanol	Generalist 	UH freezer-KF	Sample
2520-89380-16S	Kauai	ANIA	Anianiau	2520-89380	2/19/19		Ethanol	Generalist 	UH freezer-KF	Sample
2280-37788-16S	Kauai	AKIK	Akikiki	2280-37788	2/23/19	HPK	Ethanol 	Insectivorous 		Sample
1821-20712-16S	Kauai	AKIK	Akikiki	1821-20712	12/12/17	HPK	Ethanol 	Insectivorous 		Sample
1821-21373-16S	Kauai	AKIK	Akikiki	1821-21373	4/13/17	HPK	Ethanol 	Insectivorous 		Sample
1821-21371-16S	Kauai	AKIK	Akikiki	1821-21371	4/11/17	HPK	Ethanol 	Insectivorous 		Sample
2631-36106-16S	Kauai	AKIK	Akikiki	2631-36106	1/20/18	HPK	Ethanol 	Insectivorous 		Sample
2280-37786-16S	Kauai	AKIK	Akikiki	2280-37786	2/23/19	HPK	Ethanol 	Insectivorous 		Sample
2631-36111-16S	Kauai	AKIK	Akikiki	2631-36111	1/25/18	HPK	Ethanol 	Insectivorous 		Sample
1821-21422-16S	Kauai	AKIK	Akikiki	1821-21422	5/19/19	HPK	Ethanol 	Insectivorous 		Sample
1821-21403-16S	Kauai	AKIK	Akikiki	1821-21403	2/24/18	UUK	Ethanol 	Insectivorous 		Sample
2631-36158-16S	Kauai	AKIK	Akikiki	2631-36158	6/3/19	HPK	Ethanol 	Insectivorous 		Sample
1821-21381-16S	Kauai	AKIK	Akikiki	1821-21381	4/25/17	HPK	Alcohol 	Insectivorous 		Sample
1821-20694-16S	Kauai	AKIK	Akikiki	1821-20694	3/20/17	HPK	Alcohol 	Insectivorous 		Sample
1821-20775-16S	Kauai	AKIK	Akikiki	1821-20775	11/5/16	MOH	Ethanol	Insectivorous 		Sample
1821-20774-16S	Kauai	AKIK	Akikiki	1821-20774	11/5/16	MOH	Alcohol	Insectivorous 		Sample
1821-21326-16S	Kauai	AKIK	Akikiki	1821-21326	5/5/17	MOH	Alcohol	Insectivorous 		Sample
1821-21368-16S	Kauai	AKIK	Akikiki	1821-21368	4/9/17	HPK	Ethanol	Insectivorous 		Sample
1821-21407-16S	Kauai	AKIK	Akikiki	1821-21407	2/27/18	UUK	Ethanol	Insectivorous 		Sample
2631-36142-16S	Kauai	AKIK	Akikiki	2631-36142	5/7/18	HPK	Ethanol	Insectivorous 		Sample
1821-21415-16S	Kauai	AKIK	Akikiki	1821-21415	3/26/18	UUK	Ethanol	Insectivorous 		Sample
1821-21360-16S	Kauai	AKIK	Akikiki	1821-21360	3/25/17	HPK	Ethanol	Insectivorous 		Sample
1841-12149-16S	Big Island	AKIA	Akiapolaau	1841-12149	7/1/20	BOG	Ethanol	Insectivorous 		Sample
1801-16165-041613-16S	Big Island	AKIA	Akiapolaau	1801-16165	4/16/13	PUAK	Alcohol	Insectivorous 		Sample
2641-48231-16S	Big Island	AKIA	Akiapolaau	2641-48231	1/28/20	PUAK	Alcohol	Insectivorous 		Sample
1801-16186-16S	Big Island	AKIA	Akiapolaau	1801-16186	12/14/13	NAUHI	Alcohol	Insectivorous 		Sample
881-81194-072012-16S	Big Island	AKIA	Akiapolaau	881-81194	7/20/12	PEDR	Alcohol	Insectivorous 		Sample
2641-96137-16S	Big Island	AKIA	Akiapolaau	2641-96137	4/22/15	PEDR	Alcohol	Insectivorous 		Sample
2641-96133-16S	Big Island	AKIA	Akiapolaau	2641-96133	3/30/15	KOAR	Alcohol	Insectivorous 		Sample
1801-16165-041513-16S	Big Island	AKIA	Akiapolaau	1801-16165	4/15/13	PUAK	Alcohol	Insectivorous 		Sample
1801-16166-16S	Big Island	AKIA	Akiapolaau	1801-16166	4/15/13	PUAK	Alcohol	Insectivorous 		Sample
2641-96159-16S	Big Island	AKIA	Akiapolaau	2641-96159	2/15/16	KOAR	Alcohol	Insectivorous 		Sample
2641-96164-16S	Big Island	AKIA	Akiapolaau	2641-96164	3/19/16	PUAK	Alcohol	Insectivorous 		Sample
2641-96161-16S	Big Island	AKIA	Akiapolaau	2641-96161	2/17/17	PUAK	Alcohol	Insectivorous 		Sample
1801-16168-16S	Big Island	AKIA	Akiapolaau	1801-16168	9/27/13	PUAK	Alcohol	Insectivorous 		Sample
2641-96105-16S	Big Island	AKIA	Akiapolaau	2641-96105	4/21/14	PEDR	Alcohol	Insectivorous 		Sample
1801-16163-16S	Big Island	AKIA	Akiapolaau	1801-16163	5/18/14	PUAK	Alcohol	Insectivorous 		Sample
881-81198-16S	Big Island	AKIA	Akiapolaau	881-81198	3/2/13	PEDR	Alcohol	Insectivorous 		Sample
881-81194-070215-16S	Big Island	AKIA	Akiapolaau	881-81194	7/2/15	PEDR	Alcohol	Insectivorous 		Sample
2690-92209-16S	Big Island	AKEP	Akepa	2690-92209	5/21/15	PUAK	Alcohol	Insectivorous 		Sample
2690-92228-16S	Big Island	AKEP	Akepa	2690-92228	3/2/13	PEDR	Alcohol	Insectivorous 		Sample
2730-22273-16S	Big Island	AKEP	Akepa	2730-22273	5/23/15	PEDR	Alcohol	Insectivorous 		Sample
2400-68090-052515-16S	Big Island	AKEP	Akepa	2400-68090	5/25/15	PUAK	Alcohol	Insectivorous 		Sample
2730-22105-16S	Big Island	AKEP	Akepa	2730-22105	5/11/14	PUAK	Alcohol	Insectivorous 		Sample
2730-22318-16S	Big Island	AKEP	Akepa	2730-22318	5/10/16	PUAK	Alcohol	Insectivorous 		Sample
2690-92252-16S	Big Island	AKEP	Akepa	2690-92252	3/24/16	PEDR	Alcohol	Insectivorous 		Sample
2390-93144-16S	Big Island	AKEP	Akepa	2390-93144	3/15/16	PUAK	Alcohol	Insectivorous 		Sample
2390-93189-16S	Big Island	AKEP	Akepa	2390-93189	4/24/16	PUAK	Alcohol	Insectivorous 		Sample
1851-54906-16S	Big Island	AKEP	Akepa	1851-54906	3/25/15	PUAK	Alcohol	Insectivorous 		Sample
2690-92220-060320-16S	Big Island	AKEP	Akepa	2690-92220	6/3/20	PUAK	Alcohol	Insectivorous 		Sample
2390-93111-16S	Big Island	AKEP	Akepa	2390-93111	2/10/16	PUAK	Alcohol	Insectivorous 		Sample
2730-22226-16S	Big Island	AKEP	Akepa	2730-22226	5/18/16	PEDR	Alcohol	Insectivorous 		Sample
2710-42577-16S	Big Island	AKEP	Akepa	2710-42577	2/24/15	PEDR	Alcohol	Insectivorous 		Sample
2730-22320-16S	Big Island	AKEP	Akepa	2730-22320	5/16/16	PUAK	Alcohol	Insectivorous 		Sample
2390-93300-16S	Big Island	AKEP	Akepa	2390-93300	10/1/15	PUAK	Alcohol	Insectivorous 		Sample
2400-68090-042216-16S	Big Island	AKEP	Akepa	2400-68090	4/22/16	PUAK	Alcohol	Insectivorous 		Sample
2730-22236-16S	Big Island	AKEP	Akepa	2730-22236	3/26/16	PUAK	Alcohol	Insectivorous 		Sample
2690-92220-022615-16S	Big Island	AKEP	Akepa	2690-92220	2/26/15	PUAK	Alcohol	Insectivorous 		Sample
2390-93256-16S	Big Island	AKEP	Akepa	2390-93256	3/16/16	PEDR	Alcohol	Insectivorous 		Sample
2631-36118-16S	Kauai	AKEK	Akekee	2631-36118	2/7/18	HPK	Ethanol 	Insectivorous 		Sample
2280-37793-16S	Kauai	AKEK	Akekee	2280-37793	5/31/19	HPK	Ethanol 	Insectivorous 		Sample
2280-37683-16S	Kauai	AKEK	Akekee	2280-37683	7/5/19	HPK	Ethanol 	Insectivorous 		Sample
2280-37760-16S	Kauai	AKEK	Akekee	2280-37760	4/7/18	HPK	Ethanol 	Insectivorous 		Sample
1821-21380-16S	Kauai	AKEK	Akekee	1821-21380	4/24/17	HPK	Alcohol	Insectivorous 		Sample
1821-21379-16S	Kauai	AKEK	Akekee	1821-21379	4/24/17	HPK	Alcohol	Insectivorous 		Sample
1821-20784-16S	Kauai	AKEK	Akekee	1821-20784	1/31/17	HPK	Alcohol	Insectivorous 		Sample
2631-36140-16S	Kauai	AKEK	Akekee	2631-36140	4/20/18	HPK	Ethanol	Insectivorous 		Sample
2280-37663-16S	Kauai	AKEK	Akekee	2280-37663	2/24/18		Ethanol	Insectivorous 	UH freezer	Sample
Neg-092920-16S	Additional			Neg. control	9/29/20				Negative	Control
16S-PCR-Neg1				PCR Neg 1					Negative	Control
Neg-100520-16S	Additional			Neg. control	10/5/20				Negative	Control
16S-PCR-Neg2				PCR Neg 2					Negative	Control
Neg-101620-16S	Additional			Neg. control	10/16/20				Negative	Control
Neg-102120-16S	Additional			Neg. control	10/21/20				Negative	Control
16S-PCR-Neg3				PCR Neg 3					Negative	Control
Neg-110420-16S	Additional			Neg. control	11/4/20				Negative	Control
Neg-111720-16S	Additional			Neg. control	11/17/20				Negative	Control
16S-PCR-Neg4				PCR Neg 4					Negative	Control
Neg-111220-16S	Additional			Neg. control	11/12/20				Negative	Control
16S-PCR-Neg5				PCR Neg 5					Negative	Control
